frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
1,car,0.6580349802970886,967,415,1014,459,71.48936170212765,0.94,54.5,False,Low detection confidence
1,bus,0.6148340106010437,1160,228,1556,671,12.72727272727273,12.04,86.3,False,Large vehicle - maintain distance; Low detection confidence
1,motorcycle,0.5907515287399292,481,476,564,570,15.742971887550201,-13.19,82.7,False,Low detection confidence
1,car,0.5551625490188599,1010,407,1081,479,47.32394366197183,2.62,56.4,False,Low detection confidence
1,truck,0.5130616426467896,1160,226,1557,671,11.754827875734678,12.05,87.2,False,Large vehicle - maintain distance; Low detection confidence
2,car,0.6631067395210266,968,415,1015,459,71.48936170212765,0.97,54.5,False,Low detection confidence
2,bus,0.6409927606582642,1161,229,1556,670,12.759493670886078,12.05,86.2,False,Large vehicle - maintain distance; Low detection confidence
2,motorcycle,0.5977133512496948,482,474,565,570,15.742971887550201,-13.16,82.7,False,Low detection confidence
2,car,0.5554705262184143,1012,405,1083,479,47.32394366197183,2.68,56.3,False,Low detection confidence
3,car,0.6557574272155762,968,415,1016,459,70.0,0.98,54.5,False,Low detection confidence
3,motorcycle,0.5981308817863464,481,472,566,570,15.372549019607844,-13.16,83.0,False,Low detection confidence
3,car,0.5671274065971375,1012,405,1083,479,47.32394366197183,2.68,56.3,False,Low detection confidence
3,truck,0.564406156539917,1161,227,1555,668,11.844331641285956,12.04,87.1,False,Large vehicle - maintain distance; Low detection confidence
3,bus,0.5261154770851135,1160,229,1555,669,12.759493670886078,12.02,86.2,False,Large vehicle - maintain distance; Low detection confidence
4,car,0.6243923902511597,969,414,1016,458,71.48936170212765,1.0,54.5,False,Low detection confidence
4,truck,0.6238992810249329,1161,227,1552,667,11.935208866155158,11.99,87.1,False,Large vehicle - maintain distance; Low detection confidence
4,car,0.5756935477256775,1012,408,1082,478,48.0,2.67,55.7,False,Low detection confidence
4,motorcycle,0.5277577042579651,487,474,563,570,17.192982456140353,-13.12,81.2,False,Low detection confidence
4,motorcycle,0.5233566164970398,647,478,702,551,23.757575757575758,-8.7,76.9,False,Low detection confidence
5,car,0.6203939318656921,970,412,1016,456,73.04347826086956,1.01,54.5,False,Low detection confidence
5,bus,0.5988255143165588,1160,227,1548,665,12.989690721649486,11.92,86.1,False,Large vehicle - maintain distance; Low detection confidence
5,car,0.5605385899543762,1012,407,1083,478,47.32394366197183,2.68,56.3,False,Low detection confidence
5,motorcycle,0.5129804015159607,486,470,567,570,16.131687242798353,-13.07,82.3,False,Low detection confidence
5,motorcycle,0.5101390480995178,648,467,703,551,23.757575757575758,-8.67,76.9,False,Low detection confidence
6,car,0.6413620710372925,971,412,1016,455,74.66666666666667,1.03,54.5,False,Low detection confidence
6,truck,0.6333513259887695,1160,228,1547,664,12.058570198105082,11.9,87.0,False,Large vehicle - maintain distance; Low detection confidence
6,car,0.5578685998916626,1012,405,1083,477,47.32394366197183,2.68,56.3,False,Low detection confidence
6,motorcycle,0.5246965289115906,485,476,568,569,15.742971887550201,-13.07,82.7,False,Low detection confidence
6,motorcycle,0.5099862813949585,648,465,704,551,23.333333333333336,-8.65,77.3,False,Low detection confidence
7,truck,0.7521804571151733,1158,227,1545,664,12.058570198105082,11.85,87.0,False,Large vehicle - maintain distance
7,car,0.6238979697227478,971,412,1015,456,76.36363636363636,1.01,54.5,False,Low detection confidence
7,motorcycle,0.5534757971763611,649,464,704,550,23.757575757575758,-8.64,76.9,False,Low detection confidence
7,car,0.507110595703125,1014,405,1082,475,49.411764705882355,2.7,54.2,False,Low detection confidence
7,motorcycle,0.500175952911377,486,476,572,569,15.193798449612403,-13.0,83.3,False,Low detection confidence
8,truck,0.7197992205619812,1158,228,1542,662,12.152777777777779,11.8,86.9,False,Large vehicle - maintain distance
8,car,0.5741245150566101,971,412,1015,455,76.36363636363636,1.01,54.5,False,Low detection confidence
8,car,0.5669567584991455,1013,404,1085,476,46.666666666666664,2.73,57.0,False,Low detection confidence
9,truck,0.7068793773651123,1158,230,1541,663,12.184508268059183,11.79,86.9,False,Large vehicle - maintain distance
9,car,0.5455912351608276,972,412,1016,456,76.36363636363636,1.04,54.5,False,Low detection confidence
9,car,0.5443832278251648,1013,403,1086,476,46.02739726027397,2.75,57.6,False,Low detection confidence
9,motorcycle,0.5004444122314453,488,473,570,570,15.934959349593496,-13.0,82.6,False,Low detection confidence
10,truck,0.813066840171814,1158,231,1540,664,12.216404886561955,11.77,86.9,False,Large vehicle - maintain distance
10,car,0.5284119844436646,973,412,1016,455,78.13953488372093,1.06,54.5,False,Low detection confidence
10,car,0.5190549492835999,1014,403,1085,476,47.32394366197183,2.75,56.3,False,Low detection confidence
11,truck,0.7422272562980652,1158,231,1537,662,12.313104661389623,11.73,86.8,False,Large vehicle - maintain distance
11,car,0.5845111608505249,974,412,1017,454,78.13953488372093,1.09,54.5,False,Low detection confidence
11,car,0.5314874649047852,1016,402,1084,476,49.411764705882355,2.76,54.2,False,Low detection confidence
12,truck,0.7428743243217468,1158,232,1536,661,12.34567901234568,11.71,86.8,False,Large vehicle - maintain distance
12,motorcycle,0.5400396585464478,488,467,570,569,15.934959349593496,-13.0,82.6,False,Low detection confidence
12,car,0.5393263101577759,974,412,1018,454,76.36363636363636,1.1,54.4,False,Low detection confidence
13,truck,0.7688871026039124,1157,232,1534,660,12.37842617152962,11.67,86.8,False,Large vehicle - maintain distance
13,motorcycle,0.6444434523582458,488,464,571,569,15.742971887550201,-12.99,82.8,False,Low detection confidence
13,car,0.5164647102355957,975,412,1018,454,78.13953488372093,1.12,54.4,False,Low detection confidence
